feature_name,feature_source,importance
ConvNeXt_feature_601,ConvNeXt,0.114203595
ConvNeXt_feature_293,ConvNeXt,0.10707142
ConvNeXt_feature_166,ConvNeXt,0.054714732
ConvNeXt_feature_415,ConvNeXt,0.049868558
ConvNeXt_feature_672,ConvNeXt,0.046975937
ConvNeXt_feature_808,ConvNeXt,0.04236059
ConvNeXt_feature_633,ConvNeXt,0.0412408
ConvNeXt_feature_520,ConvNeXt,0.039477896
ConvNeXt_feature_543,ConvNeXt,0.039083242
ConvNeXt_feature_297,ConvNeXt,0.038498312
ConvNeXt_feature_233,ConvNeXt,0.038337614
ConvNeXt_feature_69,ConvNeXt,0.0359693
ConvNeXt_feature_416,ConvNeXt,0.03555592
ConvNeXt_feature_470,ConvNeXt,0.03468082
ConvNeXt_feature_433,ConvNeXt,0.03444946
ConvNeXt_feature_654,ConvNeXt,0.034006435
ConvNeXt_feature_580,ConvNeXt,0.03325952
ConvNeXt_feature_828,ConvNeXt,0.03253961
ConvNeXt_feature_491,ConvNeXt,0.031795993
ConvNeXt_feature_102,ConvNeXt,0.031309664
ConvNeXt_feature_59,ConvNeXt,0.030610645
ConvNeXt_feature_245,ConvNeXt,0.0302405
ConvNeXt_feature_645,ConvNeXt,0.030158158
ConvNeXt_feature_135,ConvNeXt,0.0296743
ConvNeXt_feature_465,ConvNeXt,0.029584197
ConvNeXt_feature_486,ConvNeXt,0.029409861
ConvNeXt_feature_129,ConvNeXt,0.02925388
ConvNeXt_feature_536,ConvNeXt,0.02907493
ConvNeXt_feature_607,ConvNeXt,0.028918007
ConvNeXt_feature_255,ConvNeXt,0.028858716
ConvNeXt_feature_244,ConvNeXt,0.028805096
ConvNeXt_feature_793,ConvNeXt,0.028581165
ConvNeXt_feature_941,ConvNeXt,0.027610132
ConvNeXt_feature_302,ConvNeXt,0.027125178
ConvNeXt_feature_1015,ConvNeXt,0.026543848
ConvNeXt_feature_373,ConvNeXt,0.026289573
ConvNeXt_feature_91,ConvNeXt,0.026128994
ConvNeXt_feature_817,ConvNeXt,0.025891688
ConvNeXt_feature_400,ConvNeXt,0.025850447
ConvNeXt_feature_723,ConvNeXt,0.025846539
ConvNeXt_feature_480,ConvNeXt,0.025809579
ConvNeXt_feature_947,ConvNeXt,0.025464965
ConvNeXt_feature_138,ConvNeXt,0.02526584
ConvNeXt_feature_196,ConvNeXt,0.025134055
ConvNeXt_feature_702,ConvNeXt,0.025021244
ConvNeXt_feature_453,ConvNeXt,0.025001528
ConvNeXt_feature_651,ConvNeXt,0.02495954
ConvNeXt_feature_499,ConvNeXt,0.024614997
ConvNeXt_feature_378,ConvNeXt,0.024477568
ConvNeXt_feature_875,ConvNeXt,0.024418043
ConvNeXt_feature_831,ConvNeXt,0.024390116
ConvNeXt_feature_351,ConvNeXt,0.024365656
ConvNeXt_feature_903,ConvNeXt,0.02434783
ConvNeXt_feature_132,ConvNeXt,0.024210168
ConvNeXt_feature_15,ConvNeXt,0.024053399
ConvNeXt_feature_323,ConvNeXt,0.023841307
ConvNeXt_feature_911,ConvNeXt,0.023279818
ConvNeXt_feature_904,ConvNeXt,0.02317895
ConvNeXt_feature_303,ConvNeXt,0.023070328
ConvNeXt_feature_883,ConvNeXt,0.022902856
ConvNeXt_feature_450,ConvNeXt,0.02275639
ConvNeXt_feature_989,ConvNeXt,0.02273345
ConvNeXt_feature_473,ConvNeXt,0.022687094
ConvNeXt_feature_441,ConvNeXt,0.02228044
ConvNeXt_feature_956,ConvNeXt,0.022253614
ConvNeXt_feature_807,ConvNeXt,0.022195254
ConvNeXt_feature_243,ConvNeXt,0.02202669
ConvNeXt_feature_637,ConvNeXt,0.021825286
ConvNeXt_feature_986,ConvNeXt,0.021753773
ConvNeXt_feature_711,ConvNeXt,0.021698594
ConvNeXt_feature_150,ConvNeXt,0.02166555
ConvNeXt_feature_657,ConvNeXt,0.021627655
ConvNeXt_feature_246,ConvNeXt,0.021406455
ConvNeXt_feature_93,ConvNeXt,0.021034192
ConvNeXt_feature_662,ConvNeXt,0.020978788
ConvNeXt_feature_661,ConvNeXt,0.020808509
ConvNeXt_feature_910,ConvNeXt,0.020784974
ConvNeXt_feature_476,ConvNeXt,0.020762062
ConvNeXt_feature_218,ConvNeXt,0.020754347
ConvNeXt_feature_183,ConvNeXt,0.02071867
ConvNeXt_feature_561,ConvNeXt,0.020676246
ConvNeXt_feature_368,ConvNeXt,0.02066243
ConvNeXt_feature_300,ConvNeXt,0.020660354
ConvNeXt_feature_11,ConvNeXt,0.020601941
ConvNeXt_feature_204,ConvNeXt,0.020559624
ConvNeXt_feature_249,ConvNeXt,0.020484269
ConvNeXt_feature_420,ConvNeXt,0.020470275
ConvNeXt_feature_615,ConvNeXt,0.020361971
ConvNeXt_feature_780,ConvNeXt,0.020359434
ConvNeXt_feature_731,ConvNeXt,0.020201832
ConvNeXt_feature_97,ConvNeXt,0.020146811
ConvNeXt_feature_990,ConvNeXt,0.020046271
ConvNeXt_feature_251,ConvNeXt,0.019883592
ConvNeXt_feature_160,ConvNeXt,0.019822113
ConvNeXt_feature_239,ConvNeXt,0.019803265
ConvNeXt_feature_133,ConvNeXt,0.019738214
ConvNeXt_feature_575,ConvNeXt,0.01946057
ConvNeXt_feature_656,ConvNeXt,0.01945811
ConvNeXt_feature_310,ConvNeXt,0.019300789
ConvNeXt_feature_335,ConvNeXt,0.019291101
ConvNeXt_feature_277,ConvNeXt,0.019230397
ConvNeXt_feature_999,ConvNeXt,0.019191647
ConvNeXt_feature_379,ConvNeXt,0.01902618
ConvNeXt_feature_1019,ConvNeXt,0.018989189
ConvNeXt_feature_565,ConvNeXt,0.018945377
ConvNeXt_feature_613,ConvNeXt,0.018916003
ConvNeXt_feature_180,ConvNeXt,0.018914636
ConvNeXt_feature_1002,ConvNeXt,0.018912317
ConvNeXt_feature_724,ConvNeXt,0.018888857
ConvNeXt_feature_369,ConvNeXt,0.01879742
ConvNeXt_feature_382,ConvNeXt,0.018788267
ConvNeXt_feature_493,ConvNeXt,0.018776229
ConvNeXt_feature_665,ConvNeXt,0.018725801
ConvNeXt_feature_839,ConvNeXt,0.018670864
ConvNeXt_feature_440,ConvNeXt,0.018477045
ConvNeXt_feature_827,ConvNeXt,0.01846144
ConvNeXt_feature_268,ConvNeXt,0.018359153
ConvNeXt_feature_34,ConvNeXt,0.018343644
ConvNeXt_feature_257,ConvNeXt,0.018304585
ConvNeXt_feature_733,ConvNeXt,0.018243345
ConvNeXt_feature_557,ConvNeXt,0.0181961
ConvNeXt_feature_728,ConvNeXt,0.018148866
ConvNeXt_feature_689,ConvNeXt,0.018135047
ConvNeXt_feature_647,ConvNeXt,0.018094476
ConvNeXt_feature_459,ConvNeXt,0.018025747
ConvNeXt_feature_229,ConvNeXt,0.017907055
ConvNeXt_feature_419,ConvNeXt,0.017899442
ConvNeXt_feature_155,ConvNeXt,0.01774682
ConvNeXt_feature_18,ConvNeXt,0.017682584
ConvNeXt_feature_587,ConvNeXt,0.017595088
ConvNeXt_feature_524,ConvNeXt,0.01756893
ConvNeXt_feature_240,ConvNeXt,0.01754813
ConvNeXt_feature_815,ConvNeXt,0.01749589
ConvNeXt_feature_802,ConvNeXt,0.017492326
ConvNeXt_feature_260,ConvNeXt,0.017484233
ConvNeXt_feature_185,ConvNeXt,0.017473418
ConvNeXt_feature_460,ConvNeXt,0.017413383
ConvNeXt_feature_401,ConvNeXt,0.017376527
ConvNeXt_feature_187,ConvNeXt,0.017301358
ConvNeXt_feature_568,ConvNeXt,0.017295273
ConvNeXt_feature_905,ConvNeXt,0.017279875
ConvNeXt_feature_961,ConvNeXt,0.017265849
ConvNeXt_feature_896,ConvNeXt,0.017255869
ConvNeXt_feature_978,ConvNeXt,0.01723777
ConvNeXt_feature_867,ConvNeXt,0.017210577
ConvNeXt_feature_849,ConvNeXt,0.017176235
ConvNeXt_feature_442,ConvNeXt,0.017156897
ConvNeXt_feature_482,ConvNeXt,0.01694027
