feature_name,feature_source,importance
ConvNeXt_feature_256,ConvNeXt,0.07905064
ConvNeXt_feature_166,ConvNeXt,0.0700912
ConvNeXt_feature_159,ConvNeXt,0.06838073
ConvNeXt_feature_415,ConvNeXt,0.06488275
ConvNeXt_feature_672,ConvNeXt,0.061114658
ConvNeXt_feature_637,ConvNeXt,0.060362797
ConvNeXt_feature_601,ConvNeXt,0.055103485
ConvNeXt_feature_470,ConvNeXt,0.05201517
ConvNeXt_feature_176,ConvNeXt,0.05097537
ConvNeXt_feature_978,ConvNeXt,0.044077035
ConvNeXt_feature_8,ConvNeXt,0.041590296
ConvNeXt_feature_442,ConvNeXt,0.040422454
ConvNeXt_feature_654,ConvNeXt,0.039708648
ConvNeXt_feature_575,ConvNeXt,0.03936583
ConvNeXt_feature_315,ConvNeXt,0.037996434
ConvNeXt_feature_52,ConvNeXt,0.037763912
ConvNeXt_feature_536,ConvNeXt,0.037050713
ConvNeXt_feature_794,ConvNeXt,0.0362328
ConvNeXt_feature_776,ConvNeXt,0.034951918
ConvNeXt_feature_643,ConvNeXt,0.034725256
ConvNeXt_feature_645,ConvNeXt,0.03465987
ConvNeXt_feature_416,ConvNeXt,0.03396939
ConvNeXt_feature_255,ConvNeXt,0.033241995
ConvNeXt_feature_586,ConvNeXt,0.0326218
ConvNeXt_feature_587,ConvNeXt,0.032464728
ConvNeXt_feature_447,ConvNeXt,0.03233073
ConvNeXt_feature_206,ConvNeXt,0.032200333
ConvNeXt_feature_801,ConvNeXt,0.03149356
ConvNeXt_feature_705,ConvNeXt,0.031242346
ConvNeXt_feature_364,ConvNeXt,0.030656569
ConvNeXt_feature_257,ConvNeXt,0.030619234
ConvNeXt_feature_382,ConvNeXt,0.030416476
ConvNeXt_feature_534,ConvNeXt,0.030349934
ConvNeXt_feature_77,ConvNeXt,0.03031304
ConvNeXt_feature_397,ConvNeXt,0.030211499
ConvNeXt_feature_799,ConvNeXt,0.029527616
ConvNeXt_feature_223,ConvNeXt,0.029383987
ConvNeXt_feature_934,ConvNeXt,0.028982678
ConvNeXt_feature_284,ConvNeXt,0.028961677
ConvNeXt_feature_557,ConvNeXt,0.028951494
ConvNeXt_feature_940,ConvNeXt,0.02893332
ConvNeXt_feature_904,ConvNeXt,0.028595893
ConvNeXt_feature_662,ConvNeXt,0.02837878
ConvNeXt_feature_732,ConvNeXt,0.02776882
ConvNeXt_feature_873,ConvNeXt,0.02774343
ConvNeXt_feature_107,ConvNeXt,0.027443217
ConvNeXt_feature_818,ConvNeXt,0.027167447
ConvNeXt_feature_621,ConvNeXt,0.026826177
ConvNeXt_feature_327,ConvNeXt,0.026660388
