feature_name,feature_source,importance
ConvNeXt_feature_166,ConvNeXt,0.06626411
ConvNeXt_feature_601,ConvNeXt,0.06166779
ConvNeXt_feature_275,ConvNeXt,0.054452583
ConvNeXt_feature_633,ConvNeXt,0.053768314
ConvNeXt_feature_606,ConvNeXt,0.048948918
ConvNeXt_feature_586,ConvNeXt,0.046982877
ConvNeXt_feature_587,ConvNeXt,0.04208971
ConvNeXt_feature_938,ConvNeXt,0.035169974
ConvNeXt_feature_415,ConvNeXt,0.03419044
ConvNeXt_feature_311,ConvNeXt,0.033053286
ConvNeXt_feature_180,ConvNeXt,0.032656543
ConvNeXt_feature_536,ConvNeXt,0.0315202
ConvNeXt_feature_83,ConvNeXt,0.031043814
ConvNeXt_feature_467,ConvNeXt,0.028347611
ConvNeXt_feature_358,ConvNeXt,0.028093027
ConvNeXt_feature_845,ConvNeXt,0.027745867
ConvNeXt_feature_734,ConvNeXt,0.027427746
ConvNeXt_feature_528,ConvNeXt,0.027073337
ConvNeXt_feature_269,ConvNeXt,0.02703756
ConvNeXt_feature_682,ConvNeXt,0.026902225
ConvNeXt_feature_187,ConvNeXt,0.026863106
ConvNeXt_feature_12,ConvNeXt,0.02596724
ConvNeXt_feature_622,ConvNeXt,0.025175644
ConvNeXt_feature_159,ConvNeXt,0.024457688
ConvNeXt_feature_57,ConvNeXt,0.024081504
ConvNeXt_feature_267,ConvNeXt,0.024079202
ConvNeXt_feature_492,ConvNeXt,0.023416173
ConvNeXt_feature_210,ConvNeXt,0.02286321
ConvNeXt_feature_960,ConvNeXt,0.02275284
ConvNeXt_feature_157,ConvNeXt,0.022447594
ConvNeXt_feature_94,ConvNeXt,0.022281593
ConvNeXt_feature_397,ConvNeXt,0.021901732
ConvNeXt_feature_283,ConvNeXt,0.021638319
ConvNeXt_feature_457,ConvNeXt,0.021633057
ConvNeXt_feature_24,ConvNeXt,0.021539256
ConvNeXt_feature_403,ConvNeXt,0.021335205
ConvNeXt_feature_250,ConvNeXt,0.021274319
ConvNeXt_feature_769,ConvNeXt,0.02123988
ConvNeXt_feature_563,ConvNeXt,0.021050483
ConvNeXt_feature_509,ConvNeXt,0.021006424
ConvNeXt_feature_407,ConvNeXt,0.020904297
ConvNeXt_feature_293,ConvNeXt,0.020805713
ConvNeXt_feature_905,ConvNeXt,0.020800585
ConvNeXt_feature_764,ConvNeXt,0.020721849
ConvNeXt_feature_543,ConvNeXt,0.020604031
ConvNeXt_feature_706,ConvNeXt,0.020494588
ConvNeXt_feature_777,ConvNeXt,0.020240938
ConvNeXt_feature_745,ConvNeXt,0.020178126
ConvNeXt_feature_753,ConvNeXt,0.020154767
ConvNeXt_feature_900,ConvNeXt,0.02002326
ConvNeXt_feature_488,ConvNeXt,0.019974325
ConvNeXt_feature_491,ConvNeXt,0.019713184
ConvNeXt_feature_69,ConvNeXt,0.01947636
ConvNeXt_feature_149,ConvNeXt,0.019084843
ConvNeXt_feature_637,ConvNeXt,0.01908318
ConvNeXt_feature_763,ConvNeXt,0.01902002
ConvNeXt_feature_455,ConvNeXt,0.01895815
ConvNeXt_feature_217,ConvNeXt,0.01886631
ConvNeXt_feature_262,ConvNeXt,0.01872571
ConvNeXt_feature_335,ConvNeXt,0.018662296
ConvNeXt_feature_183,ConvNeXt,0.018532913
ConvNeXt_feature_733,ConvNeXt,0.018460441
ConvNeXt_feature_604,ConvNeXt,0.018222857
ConvNeXt_feature_3,ConvNeXt,0.01820922
ConvNeXt_feature_695,ConvNeXt,0.017990395
ConvNeXt_feature_863,ConvNeXt,0.017917907
ConvNeXt_feature_996,ConvNeXt,0.017859861
ConvNeXt_feature_794,ConvNeXt,0.017843207
ConvNeXt_feature_91,ConvNeXt,0.017551173
ConvNeXt_feature_274,ConvNeXt,0.017536722
VisionMamba_feature_282,Vision_Mamba,0.017390594
ConvNeXt_feature_472,ConvNeXt,0.01722334
ConvNeXt_feature_28,ConvNeXt,0.01722283
ConvNeXt_feature_1002,ConvNeXt,0.017201327
ConvNeXt_feature_310,ConvNeXt,0.017150687
ConvNeXt_feature_26,ConvNeXt,0.016979473
ConvNeXt_feature_854,ConvNeXt,0.016971646
ConvNeXt_feature_203,ConvNeXt,0.016961085
ConvNeXt_feature_15,ConvNeXt,0.01674734
ConvNeXt_feature_672,ConvNeXt,0.016631048
ConvNeXt_feature_154,ConvNeXt,0.016603753
ConvNeXt_feature_735,ConvNeXt,0.016569935
ConvNeXt_feature_953,ConvNeXt,0.016561765
ConvNeXt_feature_808,ConvNeXt,0.0165437
ConvNeXt_feature_744,ConvNeXt,0.016509399
ConvNeXt_feature_961,ConvNeXt,0.016348658
ConvNeXt_feature_220,ConvNeXt,0.016348515
ConvNeXt_feature_480,ConvNeXt,0.016238034
ConvNeXt_feature_819,ConvNeXt,0.016217135
ConvNeXt_feature_461,ConvNeXt,0.016057765
ConvNeXt_feature_886,ConvNeXt,0.016027087
ConvNeXt_feature_550,ConvNeXt,0.015854046
VisionMamba_feature_379,Vision_Mamba,0.015830496
ConvNeXt_feature_852,ConvNeXt,0.015818022
ConvNeXt_feature_442,ConvNeXt,0.015764538
ConvNeXt_feature_330,ConvNeXt,0.015734686
ConvNeXt_feature_615,ConvNeXt,0.01565639
ConvNeXt_feature_416,ConvNeXt,0.015634367
ConvNeXt_feature_710,ConvNeXt,0.01555735
ConvNeXt_feature_610,ConvNeXt,0.015556894
