feature_name,feature_source,importance
ConvNeXt_feature_166,ConvNeXt,0.20974606
ConvNeXt_feature_415,ConvNeXt,0.1005143
ConvNeXt_feature_397,ConvNeXt,0.08210866
ConvNeXt_feature_672,ConvNeXt,0.062012557
ConvNeXt_feature_637,ConvNeXt,0.052917924
ConvNeXt_feature_416,ConvNeXt,0.0450246
ConvNeXt_feature_470,ConvNeXt,0.04296061
ConvNeXt_feature_601,ConvNeXt,0.038188215
ConvNeXt_feature_371,ConvNeXt,0.035861995
ConvNeXt_feature_246,ConvNeXt,0.032974564
ConvNeXt_feature_845,ConvNeXt,0.028791504
ConvNeXt_feature_275,ConvNeXt,0.026144698
ConvNeXt_feature_291,ConvNeXt,0.024595737
ConvNeXt_feature_256,ConvNeXt,0.024041677
ConvNeXt_feature_12,ConvNeXt,0.021710897
ConvNeXt_feature_657,ConvNeXt,0.020778233
ConvNeXt_feature_563,ConvNeXt,0.020500619
ConvNeXt_feature_418,ConvNeXt,0.020044152
ConvNeXt_feature_373,ConvNeXt,0.019933786
ConvNeXt_feature_831,ConvNeXt,0.01963591
ConvNeXt_feature_72,ConvNeXt,0.019289542
ConvNeXt_feature_464,ConvNeXt,0.019194545
ConvNeXt_feature_353,ConvNeXt,0.019121576
ConvNeXt_feature_103,ConvNeXt,0.018750433
ConvNeXt_feature_805,ConvNeXt,0.018569816
ConvNeXt_feature_19,ConvNeXt,0.018523205
ConvNeXt_feature_557,ConvNeXt,0.018374383
ConvNeXt_feature_440,ConvNeXt,0.018195217
ConvNeXt_feature_914,ConvNeXt,0.018011339
ConvNeXt_feature_520,ConvNeXt,0.017957617
ConvNeXt_feature_408,ConvNeXt,0.017874314
ConvNeXt_feature_737,ConvNeXt,0.017728686
ConvNeXt_feature_784,ConvNeXt,0.01766095
ConvNeXt_feature_958,ConvNeXt,0.01762645
ConvNeXt_feature_504,ConvNeXt,0.01741804
ConvNeXt_feature_615,ConvNeXt,0.016851176
ConvNeXt_feature_159,ConvNeXt,0.01662166
ConvNeXt_feature_60,ConvNeXt,0.016583575
ConvNeXt_feature_686,ConvNeXt,0.01648747
