feature_name,feature_source,importance
ConvNeXt_feature_397,ConvNeXt,0.03625366
ConvNeXt_feature_601,ConvNeXt,0.031559654
ConvNeXt_feature_432,ConvNeXt,0.025323234
ConvNeXt_feature_587,ConvNeXt,0.02098278
ConvNeXt_feature_237,ConvNeXt,0.020111566
ConvNeXt_feature_889,ConvNeXt,0.019158704
ConvNeXt_feature_637,ConvNeXt,0.019115733
ConvNeXt_feature_470,ConvNeXt,0.018629527
ConvNeXt_feature_611,ConvNeXt,0.018128404
ConvNeXt_feature_871,ConvNeXt,0.018124504
ConvNeXt_feature_32,ConvNeXt,0.017022394
ConvNeXt_feature_929,ConvNeXt,0.016433196
ConvNeXt_feature_504,ConvNeXt,0.016349208
ConvNeXt_feature_203,ConvNeXt,0.016190382
ConvNeXt_feature_999,ConvNeXt,0.01611174
ConvNeXt_feature_938,ConvNeXt,0.015978007
ConvNeXt_feature_594,ConvNeXt,0.01597495
ConvNeXt_feature_355,ConvNeXt,0.01588726
ConvNeXt_feature_415,ConvNeXt,0.015809005
ConvNeXt_feature_740,ConvNeXt,0.015770612
ConvNeXt_feature_183,ConvNeXt,0.015699059
ConvNeXt_feature_1024,ConvNeXt,0.015348678
ConvNeXt_feature_150,ConvNeXt,0.015294314
ConvNeXt_feature_310,ConvNeXt,0.015255189
ConvNeXt_feature_672,ConvNeXt,0.01498362
ConvNeXt_feature_666,ConvNeXt,0.014919219
ConvNeXt_feature_933,ConvNeXt,0.0145968385
ConvNeXt_feature_685,ConvNeXt,0.014269685
ConvNeXt_feature_45,ConvNeXt,0.013545046
ConvNeXt_feature_69,ConvNeXt,0.013215077
ConvNeXt_feature_100,ConvNeXt,0.013165853
ConvNeXt_feature_708,ConvNeXt,0.013161709
ConvNeXt_feature_974,ConvNeXt,0.013071555
ConvNeXt_feature_353,ConvNeXt,0.013068179
VisionMamba_feature_398,Vision_Mamba,0.0129909
ConvNeXt_feature_426,ConvNeXt,0.012919413
ConvNeXt_feature_781,ConvNeXt,0.012802863
ConvNeXt_feature_402,ConvNeXt,0.012719581
ConvNeXt_feature_947,ConvNeXt,0.012713519
ConvNeXt_feature_194,ConvNeXt,0.012678953
ConvNeXt_feature_275,ConvNeXt,0.012566944
ConvNeXt_feature_43,ConvNeXt,0.012525983
ConvNeXt_feature_951,ConvNeXt,0.0123952925
ConvNeXt_feature_24,ConvNeXt,0.012330539
ConvNeXt_feature_268,ConvNeXt,0.012244009
ConvNeXt_feature_967,ConvNeXt,0.012113508
ConvNeXt_feature_744,ConvNeXt,0.012075135
ConvNeXt_feature_88,ConvNeXt,0.012039842
ConvNeXt_feature_574,ConvNeXt,0.012030274
ConvNeXt_feature_544,ConvNeXt,0.0120283095
ConvNeXt_feature_272,ConvNeXt,0.012018831
ConvNeXt_feature_526,ConvNeXt,0.011942747
ConvNeXt_feature_985,ConvNeXt,0.011938757
ConvNeXt_feature_943,ConvNeXt,0.011787856
ConvNeXt_feature_31,ConvNeXt,0.01168006
ConvNeXt_feature_610,ConvNeXt,0.011584241
ConvNeXt_feature_366,ConvNeXt,0.011454153
ConvNeXt_feature_731,ConvNeXt,0.011366095
ConvNeXt_feature_565,ConvNeXt,0.011348663
ConvNeXt_feature_654,ConvNeXt,0.011274309
ConvNeXt_feature_630,ConvNeXt,0.011270512
ConvNeXt_feature_968,ConvNeXt,0.0111967735
ConvNeXt_feature_908,ConvNeXt,0.011044158
ConvNeXt_feature_273,ConvNeXt,0.010942807
ConvNeXt_feature_723,ConvNeXt,0.010895185
ConvNeXt_feature_269,ConvNeXt,0.010885124
ConvNeXt_feature_83,ConvNeXt,0.0107656
ConvNeXt_feature_459,ConvNeXt,0.010728408
ConvNeXt_feature_707,ConvNeXt,0.010699051
ConvNeXt_feature_878,ConvNeXt,0.01069485
ConvNeXt_feature_372,ConvNeXt,0.010678366
ConvNeXt_feature_291,ConvNeXt,0.010576356
ConvNeXt_feature_701,ConvNeXt,0.010553566
ConvNeXt_feature_821,ConvNeXt,0.010545531
ConvNeXt_feature_622,ConvNeXt,0.010442915
ConvNeXt_feature_663,ConvNeXt,0.010339434
ConvNeXt_feature_639,ConvNeXt,0.010293319
ConvNeXt_feature_98,ConvNeXt,0.010277372
ConvNeXt_feature_86,ConvNeXt,0.010241196
ConvNeXt_feature_427,ConvNeXt,0.010185507
ConvNeXt_feature_349,ConvNeXt,0.0101327775
ConvNeXt_feature_736,ConvNeXt,0.010080501
ConvNeXt_feature_127,ConvNeXt,0.010033493
ConvNeXt_feature_177,ConvNeXt,0.009937134
ConvNeXt_feature_187,ConvNeXt,0.009904488
ConvNeXt_feature_738,ConvNeXt,0.009879558
ConvNeXt_feature_53,ConvNeXt,0.009603354
ConvNeXt_feature_648,ConvNeXt,0.009579016
ConvNeXt_feature_253,ConvNeXt,0.00945937
ConvNeXt_feature_97,ConvNeXt,0.009413163
ConvNeXt_feature_755,ConvNeXt,0.009412927
ConvNeXt_feature_814,ConvNeXt,0.00938447
