feature_name,feature_source,importance
ConvNeXt_feature_397,ConvNeXt,0.12193049
ConvNeXt_feature_672,ConvNeXt,0.097119264
ConvNeXt_feature_166,ConvNeXt,0.0825814
ConvNeXt_feature_69,ConvNeXt,0.077925466
ConvNeXt_feature_601,ConvNeXt,0.076753676
ConvNeXt_feature_576,ConvNeXt,0.06946841
ConvNeXt_feature_247,ConvNeXt,0.057251886
ConvNeXt_feature_831,ConvNeXt,0.04859318
ConvNeXt_feature_355,ConvNeXt,0.048390735
ConvNeXt_feature_905,ConvNeXt,0.043327034
ConvNeXt_feature_637,ConvNeXt,0.042392258
ConvNeXt_feature_677,ConvNeXt,0.041452892
ConvNeXt_feature_727,ConvNeXt,0.040935352
ConvNeXt_feature_56,ConvNeXt,0.040845834
ConvNeXt_feature_415,ConvNeXt,0.040732328
ConvNeXt_feature_966,ConvNeXt,0.040108494
ConvNeXt_feature_999,ConvNeXt,0.039956313
ConvNeXt_feature_223,ConvNeXt,0.03974273
ConvNeXt_feature_150,ConvNeXt,0.039572127
ConvNeXt_feature_795,ConvNeXt,0.039232172
ConvNeXt_feature_39,ConvNeXt,0.039000418
ConvNeXt_feature_237,ConvNeXt,0.03827584
ConvNeXt_feature_700,ConvNeXt,0.03816078
ConvNeXt_feature_420,ConvNeXt,0.037270363
ConvNeXt_feature_47,ConvNeXt,0.03656466
ConvNeXt_feature_502,ConvNeXt,0.03623527
ConvNeXt_feature_786,ConvNeXt,0.035592906
ConvNeXt_feature_22,ConvNeXt,0.035393916
ConvNeXt_feature_953,ConvNeXt,0.034476846
ConvNeXt_feature_68,ConvNeXt,0.034263063
ConvNeXt_feature_828,ConvNeXt,0.033882864
ConvNeXt_feature_850,ConvNeXt,0.033582453
ConvNeXt_feature_339,ConvNeXt,0.033500098
ConvNeXt_feature_9,ConvNeXt,0.03340066
ConvNeXt_feature_45,ConvNeXt,0.033246446
ConvNeXt_feature_549,ConvNeXt,0.033056058
ConvNeXt_feature_29,ConvNeXt,0.03304645
ConvNeXt_feature_925,ConvNeXt,0.03296255
ConvNeXt_feature_306,ConvNeXt,0.03222757
ConvNeXt_feature_587,ConvNeXt,0.03192882
ConvNeXt_feature_802,ConvNeXt,0.03178642
ConvNeXt_feature_204,ConvNeXt,0.031668182
ConvNeXt_feature_233,ConvNeXt,0.031384245
ConvNeXt_feature_737,ConvNeXt,0.031326037
ConvNeXt_feature_246,ConvNeXt,0.031121874
ConvNeXt_feature_586,ConvNeXt,0.03079972
ConvNeXt_feature_886,ConvNeXt,0.030546341
ConvNeXt_feature_435,ConvNeXt,0.030507233
ConvNeXt_feature_376,ConvNeXt,0.030319937
ConvNeXt_feature_46,ConvNeXt,0.030096263
ConvNeXt_feature_122,ConvNeXt,0.029355105
ConvNeXt_feature_667,ConvNeXt,0.029105825
ConvNeXt_feature_822,ConvNeXt,0.028701656
ConvNeXt_feature_129,ConvNeXt,0.028394317
ConvNeXt_feature_643,ConvNeXt,0.028046617
ConvNeXt_feature_107,ConvNeXt,0.027980348
ConvNeXt_feature_326,ConvNeXt,0.02737799
ConvNeXt_feature_956,ConvNeXt,0.027335243
ConvNeXt_feature_291,ConvNeXt,0.027201347
ConvNeXt_feature_590,ConvNeXt,0.027074838
ConvNeXt_feature_962,ConvNeXt,0.02702872
ConvNeXt_feature_260,ConvNeXt,0.026724994
ConvNeXt_feature_758,ConvNeXt,0.02645833
