feature_name,feature_source,importance
ConvNeXt_feature_166,ConvNeXt,0.052312244
ConvNeXt_feature_672,ConvNeXt,0.046004213
ConvNeXt_feature_557,ConvNeXt,0.03764714
ConvNeXt_feature_55,ConvNeXt,0.035715338
ConvNeXt_feature_275,ConvNeXt,0.03562392
ConvNeXt_feature_740,ConvNeXt,0.034514975
ConvNeXt_feature_905,ConvNeXt,0.03398847
ConvNeXt_feature_773,ConvNeXt,0.03384261
ConvNeXt_feature_416,ConvNeXt,0.033816785
ConvNeXt_feature_22,ConvNeXt,0.032847513
ConvNeXt_feature_637,ConvNeXt,0.0324766
ConvNeXt_feature_89,ConvNeXt,0.03228108
ConvNeXt_feature_713,ConvNeXt,0.032223288
ConvNeXt_feature_478,ConvNeXt,0.031738445
ConvNeXt_feature_246,ConvNeXt,0.031730223
ConvNeXt_feature_984,ConvNeXt,0.03136216
ConvNeXt_feature_886,ConvNeXt,0.03118528
ConvNeXt_feature_748,ConvNeXt,0.030975329
ConvNeXt_feature_362,ConvNeXt,0.030849304
ConvNeXt_feature_727,ConvNeXt,0.030571448
ConvNeXt_feature_494,ConvNeXt,0.030265685
ConvNeXt_feature_536,ConvNeXt,0.030204866
ConvNeXt_feature_32,ConvNeXt,0.029880742
ConvNeXt_feature_96,ConvNeXt,0.029852767
ConvNeXt_feature_221,ConvNeXt,0.029842611
ConvNeXt_feature_644,ConvNeXt,0.029830955
ConvNeXt_feature_29,ConvNeXt,0.029817048
ConvNeXt_feature_655,ConvNeXt,0.029775877
ConvNeXt_feature_544,ConvNeXt,0.029653452
ConvNeXt_feature_953,ConvNeXt,0.028828735
ConvNeXt_feature_473,ConvNeXt,0.02875608
ConvNeXt_feature_935,ConvNeXt,0.028728357
ConvNeXt_feature_470,ConvNeXt,0.02803078
ConvNeXt_feature_702,ConvNeXt,0.027540753
ConvNeXt_feature_991,ConvNeXt,0.027512915
ConvNeXt_feature_169,ConvNeXt,0.02704163
ConvNeXt_feature_193,ConvNeXt,0.026961002
ConvNeXt_feature_945,ConvNeXt,0.02683885
