feature_name,feature_source,importance
ConvNeXt_feature_565,ConvNeXt,0.051398378
ConvNeXt_feature_985,ConvNeXt,0.048293393
ConvNeXt_feature_637,ConvNeXt,0.040352035
ConvNeXt_feature_387,ConvNeXt,0.03743225
ConvNeXt_feature_296,ConvNeXt,0.036596958
ConvNeXt_feature_346,ConvNeXt,0.03568793
ConvNeXt_feature_204,ConvNeXt,0.033540178
ConvNeXt_feature_496,ConvNeXt,0.03254965
ConvNeXt_feature_333,ConvNeXt,0.032349586
ConvNeXt_feature_413,ConvNeXt,0.030881343
ConvNeXt_feature_986,ConvNeXt,0.030671377
ConvNeXt_feature_391,ConvNeXt,0.030540416
ConvNeXt_feature_247,ConvNeXt,0.030382508
ConvNeXt_feature_280,ConvNeXt,0.030349243
ConvNeXt_feature_335,ConvNeXt,0.030068357
ConvNeXt_feature_682,ConvNeXt,0.029752418
ConvNeXt_feature_633,ConvNeXt,0.029083844
ConvNeXt_feature_844,ConvNeXt,0.028551795
ConvNeXt_feature_110,ConvNeXt,0.028412644
ConvNeXt_feature_947,ConvNeXt,0.028205533
ConvNeXt_feature_129,ConvNeXt,0.027358979
ConvNeXt_feature_618,ConvNeXt,0.027276002
ConvNeXt_feature_870,ConvNeXt,0.027036453
ConvNeXt_feature_890,ConvNeXt,0.027019067
ConvNeXt_feature_747,ConvNeXt,0.026586562
ConvNeXt_feature_695,ConvNeXt,0.026511401
ConvNeXt_feature_943,ConvNeXt,0.026355317
ConvNeXt_feature_415,ConvNeXt,0.02616804
ConvNeXt_feature_46,ConvNeXt,0.02605882
ConvNeXt_feature_795,ConvNeXt,0.026037976
ConvNeXt_feature_273,ConvNeXt,0.025939602
ConvNeXt_feature_810,ConvNeXt,0.025865747
ConvNeXt_feature_631,ConvNeXt,0.025829928
ConvNeXt_feature_961,ConvNeXt,0.025788153
ConvNeXt_feature_579,ConvNeXt,0.02563314
ConvNeXt_feature_113,ConvNeXt,0.025356678
ConvNeXt_feature_132,ConvNeXt,0.02533825
ConvNeXt_feature_596,ConvNeXt,0.025337553
ConvNeXt_feature_15,ConvNeXt,0.024884908
ConvNeXt_feature_859,ConvNeXt,0.024859022
ConvNeXt_feature_91,ConvNeXt,0.024779279
ConvNeXt_feature_609,ConvNeXt,0.024604041
ConvNeXt_feature_69,ConvNeXt,0.024591818
ConvNeXt_feature_488,ConvNeXt,0.02444421
ConvNeXt_feature_831,ConvNeXt,0.02388427
ConvNeXt_feature_316,ConvNeXt,0.023199819
ConvNeXt_feature_47,ConvNeXt,0.022881938
ConvNeXt_feature_259,ConvNeXt,0.02265512
ConvNeXt_feature_929,ConvNeXt,0.02256631
ConvNeXt_feature_261,ConvNeXt,0.02247632
