feature_name,feature_source,importance
ConvNeXt_feature_36,ConvNeXt,0.0781897
ConvNeXt_feature_278,ConvNeXt,0.06539427
ConvNeXt_feature_618,ConvNeXt,0.064801715
ConvNeXt_feature_285,ConvNeXt,0.06406282
ConvNeXt_feature_480,ConvNeXt,0.06299765
ConvNeXt_feature_563,ConvNeXt,0.061967857
ConvNeXt_feature_909,ConvNeXt,0.061137717
ConvNeXt_feature_296,ConvNeXt,0.05810747
ConvNeXt_feature_580,ConvNeXt,0.057348315
ConvNeXt_feature_39,ConvNeXt,0.05511104
ConvNeXt_feature_22,ConvNeXt,0.054376185
ConvNeXt_feature_387,ConvNeXt,0.053069316
ConvNeXt_feature_800,ConvNeXt,0.053026725
ConvNeXt_feature_333,ConvNeXt,0.05274848
ConvNeXt_feature_496,ConvNeXt,0.052664217
ConvNeXt_feature_69,ConvNeXt,0.051976364
ConvNeXt_feature_714,ConvNeXt,0.05135195
ConvNeXt_feature_292,ConvNeXt,0.051013377
ConvNeXt_feature_372,ConvNeXt,0.050826214
ConvNeXt_feature_188,ConvNeXt,0.050460167
ConvNeXt_feature_146,ConvNeXt,0.05041344
ConvNeXt_feature_981,ConvNeXt,0.05005729
ConvNeXt_feature_157,ConvNeXt,0.050053578
ConvNeXt_feature_737,ConvNeXt,0.049773738
ConvNeXt_feature_90,ConvNeXt,0.04976437
ConvNeXt_feature_465,ConvNeXt,0.049688607
ConvNeXt_feature_947,ConvNeXt,0.049458575
ConvNeXt_feature_309,ConvNeXt,0.049198307
ConvNeXt_feature_1023,ConvNeXt,0.04810691
ConvNeXt_feature_109,ConvNeXt,0.047906607
ConvNeXt_feature_562,ConvNeXt,0.04771649
ConvNeXt_feature_100,ConvNeXt,0.04767209
ConvNeXt_feature_586,ConvNeXt,0.047557514
ConvNeXt_feature_671,ConvNeXt,0.04728804
ConvNeXt_feature_462,ConvNeXt,0.047155645
ConvNeXt_feature_611,ConvNeXt,0.047085937
ConvNeXt_feature_785,ConvNeXt,0.047038224
ConvNeXt_feature_98,ConvNeXt,0.046914745
ConvNeXt_feature_1013,ConvNeXt,0.04662243
ConvNeXt_feature_544,ConvNeXt,0.046260122
ConvNeXt_feature_826,ConvNeXt,0.045667097
ConvNeXt_feature_946,ConvNeXt,0.04565801
ConvNeXt_feature_556,ConvNeXt,0.045204397
ConvNeXt_feature_45,ConvNeXt,0.045007747
ConvNeXt_feature_961,ConvNeXt,0.04483069
ConvNeXt_feature_657,ConvNeXt,0.044598266
ConvNeXt_feature_718,ConvNeXt,0.04445836
ConvNeXt_feature_592,ConvNeXt,0.04358866
ConvNeXt_feature_270,ConvNeXt,0.043138642
ConvNeXt_feature_470,ConvNeXt,0.042886596
