feature_name,feature_source,importance
ConvNeXt_feature_633,ConvNeXt,0.09672822
ConvNeXt_feature_386,ConvNeXt,0.08361445
ConvNeXt_feature_456,ConvNeXt,0.0815656
ConvNeXt_feature_333,ConvNeXt,0.08134081
ConvNeXt_feature_413,ConvNeXt,0.08061781
ConvNeXt_feature_811,ConvNeXt,0.07988937
ConvNeXt_feature_296,ConvNeXt,0.07976801
ConvNeXt_feature_562,ConvNeXt,0.078415684
ConvNeXt_feature_470,ConvNeXt,0.077161595
ConvNeXt_feature_109,ConvNeXt,0.076665856
ConvNeXt_feature_563,ConvNeXt,0.07549907
ConvNeXt_feature_206,ConvNeXt,0.07434258
ConvNeXt_feature_980,ConvNeXt,0.07402488
ConvNeXt_feature_261,ConvNeXt,0.07329004
ConvNeXt_feature_504,ConvNeXt,0.07313561
ConvNeXt_feature_460,ConvNeXt,0.072964035
ConvNeXt_feature_630,ConvNeXt,0.07270876
ConvNeXt_feature_347,ConvNeXt,0.07214677
ConvNeXt_feature_237,ConvNeXt,0.07087957
ConvNeXt_feature_800,ConvNeXt,0.0708287
ConvNeXt_feature_98,ConvNeXt,0.07074673
ConvNeXt_feature_651,ConvNeXt,0.06987335
ConvNeXt_feature_941,ConvNeXt,0.06895718
ConvNeXt_feature_146,ConvNeXt,0.0686432
ConvNeXt_feature_387,ConvNeXt,0.06795841
ConvNeXt_feature_117,ConvNeXt,0.06541511
ConvNeXt_feature_859,ConvNeXt,0.064784974
ConvNeXt_feature_508,ConvNeXt,0.06393995
ConvNeXt_feature_959,ConvNeXt,0.06379393
ConvNeXt_feature_855,ConvNeXt,0.06371994
ConvNeXt_feature_729,ConvNeXt,0.06308227
ConvNeXt_feature_896,ConvNeXt,0.062709466
ConvNeXt_feature_724,ConvNeXt,0.062469844
ConvNeXt_feature_496,ConvNeXt,0.062165543
ConvNeXt_feature_36,ConvNeXt,0.0621398
ConvNeXt_feature_465,ConvNeXt,0.061984096
ConvNeXt_feature_478,ConvNeXt,0.06171615
ConvNeXt_feature_871,ConvNeXt,0.06121968
ConvNeXt_feature_434,ConvNeXt,0.05986226
ConvNeXt_feature_756,ConvNeXt,0.05973806
ConvNeXt_feature_144,ConvNeXt,0.059049178
ConvNeXt_feature_954,ConvNeXt,0.05903889
ConvNeXt_feature_554,ConvNeXt,0.058581866
