feature_name,feature_source,importance
ConvNeXt_feature_447,ConvNeXt,0.069443524
ConvNeXt_feature_652,ConvNeXt,0.06460319
ConvNeXt_feature_166,ConvNeXt,0.061832227
ConvNeXt_feature_261,ConvNeXt,0.058766913
ConvNeXt_feature_831,ConvNeXt,0.05860411
ConvNeXt_feature_375,ConvNeXt,0.05643659
ConvNeXt_feature_601,ConvNeXt,0.056115486
ConvNeXt_feature_670,ConvNeXt,0.055896528
ConvNeXt_feature_720,ConvNeXt,0.05414193
ConvNeXt_feature_676,ConvNeXt,0.053156782
ConvNeXt_feature_83,ConvNeXt,0.052684553
ConvNeXt_feature_913,ConvNeXt,0.05196085
ConvNeXt_feature_22,ConvNeXt,0.051232703
ConvNeXt_feature_933,ConvNeXt,0.050777618
ConvNeXt_feature_862,ConvNeXt,0.048936546
ConvNeXt_feature_387,ConvNeXt,0.04879729
ConvNeXt_feature_748,ConvNeXt,0.048771452
ConvNeXt_feature_729,ConvNeXt,0.04873854
ConvNeXt_feature_206,ConvNeXt,0.048709452
ConvNeXt_feature_36,ConvNeXt,0.048478518
ConvNeXt_feature_88,ConvNeXt,0.047792744
ConvNeXt_feature_237,ConvNeXt,0.047129713
ConvNeXt_feature_484,ConvNeXt,0.046697553
ConvNeXt_feature_707,ConvNeXt,0.046430252
ConvNeXt_feature_672,ConvNeXt,0.044778325
ConvNeXt_feature_17,ConvNeXt,0.04378946
ConvNeXt_feature_884,ConvNeXt,0.04355388
ConvNeXt_feature_496,ConvNeXt,0.04334695
ConvNeXt_feature_262,ConvNeXt,0.042993356
ConvNeXt_feature_123,ConvNeXt,0.042872302
ConvNeXt_feature_679,ConvNeXt,0.042827383
ConvNeXt_feature_443,ConvNeXt,0.042061333
ConvNeXt_feature_377,ConvNeXt,0.041860204
ConvNeXt_feature_633,ConvNeXt,0.040530175
ConvNeXt_feature_260,ConvNeXt,0.04049875
ConvNeXt_feature_858,ConvNeXt,0.039614506
ConvNeXt_feature_1024,ConvNeXt,0.039510917
ConvNeXt_feature_695,ConvNeXt,0.03943582
ConvNeXt_feature_451,ConvNeXt,0.039419822
ConvNeXt_feature_740,ConvNeXt,0.0391392
ConvNeXt_feature_688,ConvNeXt,0.038282987
ConvNeXt_feature_65,ConvNeXt,0.038017783
ConvNeXt_feature_415,ConvNeXt,0.037534274
ConvNeXt_feature_74,ConvNeXt,0.037386283
ConvNeXt_feature_526,ConvNeXt,0.03662056
ConvNeXt_feature_714,ConvNeXt,0.036432926
